"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0212","firecrawl","fc_zdr","ZDR requires contacting help@firecrawl.dev to enable","lockdown cache is seeded by a non-lockdown scrape first","Use ZDR (no temporary storage) for compliance-bound scraping","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0213","firecrawl","fc_zdr","Lockdown enabled but no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","zeroDataRetention == true AND screenshot requested (ZDR violation)","Enable ZDR via help@firecrawl.dev (default off)","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0214","firecrawl","fc_zdr","Lockdown enabled but no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","zeroDataRetention == true AND no screenshot (OK)","Use lockdown mode (cache only) for repeatable, low-risk targets","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0215","firecrawl","fc_zdr","Lockdown enabled but no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","ZDR requires help@firecrawl.dev to enable (default off)","Seed cache with a non-lockdown scrape before enabling lockdown","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0216","firecrawl","fc_zdr","Lockdown enabled but no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","lockdown == true AND cache hit (returns cached data)","Re-scrape and re-cache when SCRAPE_LOCKDOWN_CACHE_MISS","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0217","firecrawl","fc_zdr","Lockdown enabled but no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","lockdown == true AND no cached data (404 SCRAPE_LOCKDOWN_CACHE_MISS)","Use ZDR (no temporary storage) for compliance-bound scraping","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0218","firecrawl","fc_zdr","Lockdown enabled but no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","lockdown cache is seeded by a non-lockdown scrape first","Don't add screenshot / formats that require temporary storage (ZDR violation)","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0219","firecrawl","fc_zdr","Lockdown cache is seeded by a non-lockdown scrape first","zeroDataRetention == true AND screenshot requested (ZDR violation)","Use lockdown mode (cache only) for repeatable, low-risk targets","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0220","firecrawl","fc_zdr","Lockdown cache is seeded by a non-lockdown scrape first","zeroDataRetention == true AND no screenshot (OK)","Seed cache with a non-lockdown scrape before enabling lockdown","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0221","firecrawl","fc_zdr","Lockdown cache is seeded by a non-lockdown scrape first","ZDR requires help@firecrawl.dev to enable (default off)","Re-scrape and re-cache when SCRAPE_LOCKDOWN_CACHE_MISS","Block scrape; require ZDR plan upgrade or compliance review","high","docs.firecrawl.dev/features/zero-data-retention; docs.firecrawl.dev/features/lockdown"
"FS-0222","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url is HTTPS and public","Return 2xx fast (enqueue and ACK)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0223","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url is HTTP (rejected)","Use HTTPS endpoint with valid cert (TLS verify required)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0224","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url is localhost (cannot deliver)","Don't use localhost / private IPs (cannot deliver)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0225","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url is on private IP (cannot deliver)","Honor 5xx with backoff (Firecrawl retries)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0226","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url returns 2xx (delivered)","Don't honor 4xx (Firecrawl marks failed, no retry)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0227","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url returns 5xx (transient, retry with backoff)","Use user-supplied metadata to route events (job_id, etc.)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0228","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url is slow (>30s, may time out)","Use job_id as idempotency key (dedup duplicate deliveries)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0229","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.url returns 4xx (no retry - mark failed)","Verify HMAC signature (reject unsigned / modified)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0230","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.payload includes user-supplied metadata","Filter events (started / page / completed / failed) to reduce noise","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0231","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook.payload includes idempotency key (job id)","Return 2xx fast (enqueue and ACK)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0232","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook signature is valid (HMAC)","Use HTTPS endpoint with valid cert (TLS verify required)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0233","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook signature is invalid (reject)","Don't use localhost / private IPs (cannot deliver)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0234","firecrawl","fc_webhook","Firecrawl POSTs webhook to a public HTTPS URL","webhook events filter includes 'started' / 'page' / 'completed' / 'failed'","Honor 5xx with backoff (Firecrawl retries)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0235","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url is HTTPS and public","Use HTTPS endpoint with valid cert (TLS verify required)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0236","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url is HTTP (rejected)","Don't use localhost / private IPs (cannot deliver)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0237","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url is localhost (cannot deliver)","Honor 5xx with backoff (Firecrawl retries)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0238","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url is on private IP (cannot deliver)","Don't honor 4xx (Firecrawl marks failed, no retry)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0239","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url returns 2xx (delivered)","Use user-supplied metadata to route events (job_id, etc.)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0240","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url returns 5xx (transient, retry with backoff)","Use job_id as idempotency key (dedup duplicate deliveries)","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0241","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url is slow (>30s, may time out)","Verify HMAC signature (reject unsigned / modified)","Do not process unsigned / modified payload (security)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0242","firecrawl","fc_webhook","Webhook receiver URL is down (5xx, retry with backoff)","webhook.url returns 4xx (no retry - mark failed)","Filter events (started / page / completed / failed) to reduce noise","Do not block webhook response on heavy work (use async worker)","high","docs.firecrawl.dev/webhooks/overview"
"FS-0243","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","free plan: 5 req/min, 1000 credits/month","Treat 5 req/min as hard cap (Free plan)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0244","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","hobby plan: 50 req/min","Bucket calls under 50 req/min (Hobby plan)","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0245","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","standard plan: 250 req/min","Bucket calls under 250 req/min (Standard plan)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0246","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","growth plan: 2500 req/min","Bucket calls under 2500 req/min (Growth plan)","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0247","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","all API keys on same team share rate limit counters","Count per-team, not per-key (all keys share the same bucket)","Page on-call; do not bypass rate limit by switching keys (will be caught)","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
"FS-0248","firecrawl","fc_billing","Free plan: 5 req/min, 1000 credits/month","concurrency limit hit (in-flight browsers full) - 429","Wait for in-flight jobs to finish on concurrency 429","Block scrape; require plan upgrade or wait for billing cycle","medium","docs.firecrawl.dev/rate-limits; firecrawl.dev (pricing)"
